"IDRSSD"	RCFD0211	RCFD0213	RCFD0416	RCFD1286	RCFD1287	RCFD1289	RCFD1290	RCFD1291	RCFD1293	RCFD1294	RCFD1295	RCFD1297	RCFD1298	RCFD1737	RCFD1738	RCFD1739	RCFD1741	RCFD1742	RCFD1743	RCFD1744	RCFD1746	RCFD1754	RCFD1771	RCFD1772	RCFD1773	RCFD1778	RCFD8496	RCFD8497	RCFD8498	RCFD8499	RCFD8782	RCFD8783	RCFDA248	RCFDA510	RCFDA511	RCFDA549	RCFDA550	RCFDA551	RCFDA552	RCFDA553	RCFDA554	RCFDA555	RCFDA556	RCFDA557	RCFDA558	RCFDA559	RCFDA560	RCFDA561	RCFDA562	RCFDB838	RCFDB839	RCFDB840	RCFDB841	RCFDB842	RCFDB843	RCFDB844	RCFDB845	RCFDB846	RCFDB847	RCFDB848	RCFDB849	RCFDB850	RCFDB851	RCFDB852	RCFDB853	RCFDB854	RCFDB855	RCFDB856	RCFDB857	RCFDB858	RCFDB859	RCFDB860	RCFDB861	RCFDC026	RCFDC027	RCFDC988	RCFDC989	RCFDG300	RCFDG301	RCFDG302	RCFDG303	RCFDG304	RCFDG305	RCFDG306	RCFDG307	RCFDG308	RCFDG309	RCFDG310	RCFDG311	RCFDG312	RCFDG313	RCFDG314	RCFDG315	RCFDG316	RCFDG317	RCFDG318	RCFDG319	RCFDG320	RCFDG321	RCFDG322	RCFDG323	RCFDG336	RCFDG337	RCFDG338	RCFDG339	RCFDG340	RCFDG341	RCFDG342	RCFDG343	RCFDG344	RCFDG345	RCFDG346	RCFDG347	RCFDG348	RCFDG349	RCFDG350	RCFDG351	RCFDG352	RCFDG353	RCFDG354	RCFDG355	RCFDG356	RCFDG357	RCFDG358	RCFDG359	RCFDG360	RCFDG361	RCFDG362	RCFDG363	RCFDG364	RCFDG365	RCFDG366	RCFDG367	RCFDG368	RCFDG369	RCFDG370	RCFDG371	RCFDG372	RCFDG373	RCFDG374	RCFDG375	RCFDK142	RCFDK143	RCFDK144	RCFDK145	RCFDK146	RCFDK147	RCFDK148	RCFDK149	RCFDK150	RCFDK151	RCFDK152	RCFDK153	RCFDK154	RCFDK155	RCFDK156	RCFDK157	RCON0211	RCON0213	RCON0416	RCON1286	RCON1287	RCON1289	RCON1290	RCON1291	RCON1293	RCON1294	RCON1295	RCON1297	RCON1298	RCON1737	RCON1738	RCON1739	RCON1741	RCON1742	RCON1743	RCON1744	RCON1746	RCON1754	RCON1771	RCON1772	RCON1773	RCON1778	RCON8496	RCON8497	RCON8498	RCON8499	RCON8782	RCON8783	RCONA248	RCONA510	RCONA511	RCONA549	RCONA550	RCONA551	RCONA552	RCONA553	RCONA554	RCONA555	RCONA556	RCONA557	RCONA558	RCONA559	RCONA560	RCONA561	RCONA562	RCONB838	RCONB839	RCONB840	RCONB841	RCONB842	RCONB843	RCONB844	RCONB845	RCONB846	RCONB847	RCONB848	RCONB849	RCONB850	RCONB851	RCONB852	RCONB853	RCONB854	RCONB855	RCONB856	RCONB857	RCONB858	RCONB859	RCONB860	RCONB861	RCONC026	RCONC027	RCONC988	RCONC989	RCONG300	RCONG301	RCONG302	RCONG303	RCONG304	RCONG305	
198859																																																																																																																																																														0	0	11404	0	0	0	0	0	0	0	0	17417	17387	0	0	0	0	0	0	0	0	0	0	17417	17387	0	0	0	0	0	0	0	6571	0	0	440	6131	10816	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
198961																																																																																																																																																														0	0	1189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	101	1148	1211	0	0	0	410	423	0	0	0	0	0	0	0	423	0	0	0	35	113	0	0	742	0	0	0																									0	0	0	0	102	101	46	46	0	0	
199052																																																																																																																																																														0	0	6235	0	0	0	0	0	0	0	0	12289	12173	0	0	0	0	0	0	0	0	0	0	18822	18758	0	0	0	1620	1632	3212	3084	1798	0	0	0	1798	8954	2374	679	0	0	0	0	0	0	0	4725	228																									0	0	0	0	0	0	0	0	0	0	
199137																																																																																																																																																														31776	32114	2137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31776	32114	0	0	0	0	0	0	0	0	0	3006	0	0	0	3006	8693	15425	4652	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
199351																																																																																																																																																														0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	157	0	0	0	155	157	0	0	0	0	0	0	101	0	0	57	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
199436																																																																																																																																																														0	0	2430	0	0	0	0	0	0	0	0	16184	16163	0	0	0	0	0	0	0	0	0	0	17369	17325	0	0	0	1185	1162	4656	4581	0	0	0	0	0	0	3671	12076	1578	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
199454																																																																																																																																																														0	0	192	0	0	0	0	0	0	0	0	1723	1740	0	0	0	0	0	0	0	0	0	0	1723	1740	0	0	0	0	0	0	0	1531	0	0	0	1531	202	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
199463																																																																																																																																																														0	0	16655	0	0	0	0	7795	7905	0	0	0	0	0	0	1000	1011	0	0	0	0	0	0	29377	29735	0	0	0	11002	11119	0	0	591	2	13	7059	413	2645	2222	7103	593	32	0	142	469	3802	1841	1930	1471																									0	0	0	0	0	0	1085	1142	0	0	
199940																																																																																																																																																														0	0	3375	4023	4017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4058	4054	0	0	0	0	0	0	0	0	0	0	0	0	4017	0	0	0	37	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
200042																																																																																																																																																														0	0	1887	0	0	0	0	0	0	0	0	4446	4443	0	0	0	0	0	0	0	0	0	0	10812	11008	0	0	0	6365	6564	0	0	448	0	0	121	327	1999	4178	4381	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	1	1	0	0	
200435																																																																																																																																																														0	0	51338	0	0	478	514	0	0	17982	17751	5996	6060	3752	4388	1530	1510	0	0	0	0	57669	57915	67546	68969	108	33831	33603	44417	44843	17941	17663	3395	0	0	801	2593	4198	4220	45646	50998	532	1254	136	517	4888	8368	824	1663																									0	0	0	0	0	0	3301	3533	619	661	
200640																																																																																																																																																														0	0	4619	2384	2398	0	0	2173	2347	0	0	8972	8946	0	0	0	0	300	300	0	0	300	300	87446	85895	0	0	0	80	81	8972	8946	2427	0	0	3350	513	535	0	11435	2334	0	0	0	0	1806	0	29050	37172																									0	4095	0	4489	0	0	0	0	0	0	
201049																																																																																																																																																														0	0	17057	400	401	0	0	0	0	0	0	12195	12108	0	0	0	0	0	0	0	0	500	500	25398	25883	0	500	500	1092	1145	8351	8296	0	0	0	0	0	2526	3864	7764	0	0	284	649	0	3144	2512	3846	1794																									0	0	0	0	0	0	0	0	0	0	
201254																																																																																																																																																														0	0	7622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18413	17799	0	0	0	4739	4413	0	0	22	0	0	0	23	47	52	3578	714	2	5	0	0	10869	2260	0	249																									0	0	0	0	0	0	11079	10876	0	0	
201441																																																																																																																																																														0	0	0	0	0	0	0	857	919	0	0	2780	2770	0	0	0	0	0	0	0	0	0	0	5357	5450	0	0	0	35	38	984	985	8	0	0	0	8	20	812	2887	0	0	0	0	0	920	803	0	0																									0	0	0	0	0	0	0	0	0	0	
201638																																																																																																																																																														0	0	4654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23855	23667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3228	3742	0	0	0	3216	13481																									0	0	0	0	0	0	6905	6970	0	0	
201647																																																																																																																																																														0	0	3617	0	0	0	0	0	0	0	0	8230	8288	0	0	0	0	0	0	0	0	0	0	35607	35900	0	0	0	15047	15188	800	809	2242	0	0	541	2190	5213	6827	8094	611	0	0	149	0	10761	0	1075	439																									0	0	0	0	0	0	406	401	0	0	
201834																																																																																																																																																														0	0	8520	7043	7077	0	0	0	0	0	0	19411	19500	0	0	772	772	0	0	0	0	0	0	35400	35509	0	0	0	7835	7803	5005	5032	8571	250	265	2256	11347	1494	947	17925	1183	0	0	0	0	3	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
202251																																																																																																																																																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
202514																																																																																																																																																														0	0	8347	0	0	0	0	0	0	0	0	7021	7042	0	0	0	0	0	0	0	0	0	0	23474	23654	0	0	0	12357	12545	2998	2985	3650	0	0	446	3205	6590	4412	4936	0	0	13	0	0	1135	0	975	1944																									0	0	0	0	0	0	39	43	0	0	
202541																																																																																																																																																														0	0	27580	0	0	0	0	0	0	0	0	14612	14588	0	0	9636	9942	0	0	0	0	0	0	48046	48019	0	0	0	10530	10486	2892	2962	0	0	0	0	0	0	2953	29093	2970	0	11	0	0	0	12992	1	0																									0	0	0	0	0	0	0	0	0	0	
202550																																																																																																																																																														0	0	10343	0	0	0	0	0	0	0	0	2197	2171	0	0	0	0	0	0	0	0	0	0	12014	12230	0	0	0	6788	6923	0	0	710	0	0	0	710	2216	2368	3029	771	0	16	0	0	1132	1988	0	0																									0	0	0	0	0	0	0	0	0	0	
202907																																																																																																																																																														415811	430631	884206	60046	61807	0	0	0	0	62379	65411	263499	283481	47	47	24016	25589	0	0	0	0	593325	613258	1126184	1145027	0	66599	66315	534420	542278	69164	48172	109715	0	0	90313	67547	106949	138591	994652	143675	45	1730	16	20	5610	179129	9249	826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48489	50854	60301	62267	0	0	
203052																																																																																																																																																														0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	659	0	0	0	664	659	0	0	0	0	248	0	0	0	248	55	0	311	50	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
203418																																																																																																																																																														0	0	34383	0	0	0	0	0	0	0	0	0	0	0	0	1681	1888	0	0	0	0	0	0	71279	72926	0	0	0	3933	3902	0	0	413	0	0	2272	413	503	0	2602	0	0	0	210	0	32892	16204	4960	12870																									0	0	0	0	0	0	0	0	0	0	
203575																																																																																																																																																														0	0	0	0	0	0	0	0	0	0	0	8999	8938	0	0	0	0	0	0	0	0	0	0	10861	10865	0	0	0	1014	1058	7999	7955	0	0	0	0	1990	5965	0	983	1058	821	42	0	0	0	0	0	6																									0	0	0	0	0	0	90	93	0	0	
204004																																																																																																																																																														0	0	687127	0	0	0	0	0	0	2499	2462	94313	94613	9466	9743	8537	8861	0	0	0	0	341675	349465	1240179	1263155	0	295564	301700	11188	11625	0	0	105416	1477	1477	11909	93507	91541	46714	178957	0	74996	961	10036	41898	308449	35520	471145	237720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6110	6625	0	0	
204237																																																																																																																																																														0	0	15067	0	0	0	0	0	0	0	0	5022	5037	0	0	3387	3509	0	0	0	0	0	0	31406	31637	0	0	0	11165	11222	1000	974	447	43	43	1001	447	1492	784	13867	2178	540	94	43	28	853	10267	0	0																									0	0	0	0	0	0	4155	4168	0	0	
204826																																																																																																																																																														0	0	24596	0	0	0	0	0	0	0	0	33341	33931	0	0	100	102	0	0	0	0	0	0	65500	67670	0	0	0	14407	14767	10001	10185	10775	0	0	3336	6885	15466	9920	13193	0	328	1484	0	569	16065	424	0	0																									0	0	0	0	0	0	363	399	0	0	
205159																																																																																																																																																														0	0	3503	0	0	0	0	0	0	0	0	2930	2945	0	0	0	0	0	0	0	0	2411	2428	3131	3148	0	2411	2428	201	203	800	800	627	0	0	100	527	2998	1507	427	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
205243																																																																																																																																																														0	0	19613	0	0	0	0	2543	2576	0	0	3919	3981	0	0	0	0	0	0	0	0	0	0	52106	52952	0	0	0	25999	26278	3919	3981	564	0	0	30	534	2282	4720	17567	7703	1	828	1834	6397	6059	2030	2006	961																									0	0	0	0	0	0	9859	9954	0	0	
205346																																																																																																																																																														0	0	7221	19146	19146	0	0	0	0	0	0	0	0	2250	2250	976	1000	0	0	0	0	2250	2250	62990	63720	0	0	0	38562	38943	0	0	22707	0	0	13747	17112	14659	3187	10945	565	0	43	104	0	0	0	2453	2030																									0	0	0	0	0	0	42	43	0	0	
205458																																																																																																																																																														0	0	7073	0	0	0	0	0	0	0	0	5784	5749	0	0	0	0	0	0	0	0	620	650	8907	8892	0	620	650	1681	1682	0	0	878	0	0	111	767	881	1576	4716	0	0	0	205	141	1115	0	0	0																									0	0	0	0	0	0	0	0	0	0	
205542																																																																																																																																																														0	0	15219	0	0	0	0	0	0	0	0	17969	17843	0	0	0	0	0	0	0	0	0	0	58819	59735	0	0	0	35444	36435	0	0	5038	0	0	81	0	1939	1395	44498	6364	0	0	0	0	0	0	4958	499																									0	0	0	0	0	0	0	0	0	0	
205654																																																																																																																																																														0	0	30654	0	0	0	0	0	0	0	0	32346	32494	0	0	0	0	0	0	0	0	11026	11038	133884	134728	0	11026	11038	22454	23035	1451	1451	19601	0	0	480	19121	21226	5453	13654	7026	0	0	0	0	0	0	63987	14807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
206156																																																																																																																																																														0	0	31306	0	0	0	0	0	0	16555	16741	7099	7024	0	0	0	0	0	0	0	0	19804	20085	12280	12360	0	3249	3344	4131	4286	2500	2425	4968	0	0	0	4968	10356	8627	7163	0	0	0	0	0	1050	0	0	0																									0	0	0	0	0	0	0	0	0	0	
206174																																																																																																																																																														0	0	9993	0	0	0	0	0	0	25452	25261	0	0	0	0	11832	11660	0	0	0	0	54572	54863	12384	12222	0	18880	18865	552	562	23650	23288	1618	0	0	2792	1296	3412	8624	32397	8033	627	18	584	557	3939	4416	21	78																									0	0	0	0	670	722	0	0	9471	9915	
206772																																																																																																																																																														0	0	1978	0	0	0	0	0	0	0	0	8000	7952	0	0	0	0	0	0	0	0	0	0	8000	7952	0	0	0	0	0	0	0	0	0	0	0	0	1998	5954	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
206950																																																																																																																																																														0	0	2059	0	0	0	0	82	82	0	0	686	711	0	0	0	0	0	0	0	0	640	656	6291	6465	0	251	255	1530	1507	161	167	433	0	0	82	251	167	0	1475	576	0	816	332	31	571	12	1694	1099																									0	0	0	0	0	0	296	321	0	0	
207041																																																																																																																																																														0	0	3801	0	0	0	0	0	0	0	0	4327	4357	0	0	0	0	0	0	0	0	0	0	9963	10141	0	0	0	3905	3955	900	910	407	0	0	0	408	1744	2405	3755	0	0	0	0	117	1551	156	5	0																									0	0	0	0	0	0	483	510	0	0	
207050																																																																																																																																																														100	104	6322	0	0	0	0	0	0	0	0	12701	12696	0	0	1078	1069	0	0	0	0	4777	4904	27040	26991	0	4677	4800	13261	13226	12700	12696	0	0	0	100	100	1675	14073	10807	5013	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
207452																																																																																																																																																														0	0	51462	0	0	0	0	0	0	0	0	2363	2375	0	0	0	0	0	0	0	0	0	0	56231	57812	0	0	0	17796	18318	0	0	1161	0	0	25	1136	1388	6099	12045	0	2535	73	452	728	6235	2562	20627	3907																									0	0	0	0	0	0	1776	1777	0	0	
207555																																																																																																																																																														0	0	19051	0	0	0	0	0	0	0	0	12892	12945	0	0	0	0	0	0	0	0	0	0	37804	38465	0	0	0	11038	11462	0	0	1948	0	0	200	1745	8081	9912	4317	152	0	5	2071	7966	676	63	1959	1318																									0	0	0	0	0	0	10110	10124	0	0	
207845																																																																																																																																																														0	0	192350	2013	1934	0	0	0	0	0	0	163805	162521	6448	6548	25705	25450	0	0	0	0	6448	6548	328282	327778	0	0	0	125133	126128	18575	18684	27677	1242	1242	19979	8773	85791	149381	57802	753	0	0	0	151	4637	0	5715	0																									0	0	0	0	0	0	0	0	0	0	
207872																																																																																																																																																														0	0	44704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44369	44704	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	470	386	27	0	6314	16468	5491	15549																									0	0	0	0	0	0	23157	23664	0	0	
207957																																																																																																																																																														0	0	1200	0	0	0	0	0	0	0	0	2713	2662	0	0	0	0	0	0	0	0	0	0	7383	7400	0	0	0	2041	2051	0	0	0	0	0	0	284	633	2795	1001	0	1	80	1255	1254	97	0	0	0																									0	0	0	0	0	0	91	97	0	0	
208057																																																																																																																																																														0	0	5359	0	0	0	0	0	0	28130	28146	31335	31488	1228	1241	3419	3598	0	0	0	0	68249	68626	101977	103283	0	35236	35519	5907	5979	4241	4392	48292	0	0	32996	15296	12363	6457	35088	3459	4956	407	13730	4773	6948	5794	8900	20365																									0	0	0	0	153	158	16432	16663	781	827	
208169																																																																																																																																																														0	0	59807	22997	23005	0	0	0	0	0	0	31949	31896	0	0	0	0	0	0	0	0	0	0	74549	74945	0	0	0	1480	1500	24949	24926	23006	2750	2769	19996	3010	7973	25422	0	0	1558	0	3174	3144	0	7900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3219	3358	0	0	
208244	0	0	1621398	61370	61750	0	0	70	71	276735	277001	370815	370484	0	0	112497	118456	0	0	0	0	600297	592960	2014934	2028584	0	217136	207271	332889	342178	196898	196477	12048	24156	24465	19755	8459	152435	89256	597773	528815	18023	22025	25119	260307	197032	32383	469012	184022	0	0	0	0	0	0	0	0	344	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	217	0	0	0	307555	307567	43867	46443	192722	203455	0	0	0	0	62215	62028	471849	478692	0	0	3	3	0	0	113616	112124	0	0	27360	9306	0	0	0	0	0	0	0	0	0	0	27360	9306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	33	0	0	0	0	0	0	0	0	0	0	0	0	0				61749																	600297			1926193		217136			342178					24465																																																	
208347																																																																																																																																																														0	0	922	0	0	0	0	0	0	614	592	2235	1801	300	302	176	170	0	0	0	0	1074	1056	2621	2181	0	160	162	210	210	2195	2140	60	0	0	60	0	340	75	2514	266	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
208440																																																																																																																																																														0	0	0	0	0	0	0	0	0	0	0	1066	1081	0	0	0	0	0	0	0	0	6253	6351	1070	1085	0	6253	6351	0	0	0	0	2881	0	0	2034	846	2615	1087	752	0	0	4	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
208459																																																																																																																																																														0	0	1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1957	1984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1024	0	0	29	0	6	0	925																									0	0	0	0	0	0	1017	1030	0	0	
208655																																																																																																																																																														0	0	36299	2989	3030	0	0	0	0	0	0	29080	29811	0	0	0	0	0	0	0	0	0	0	54338	55106	0	0	0	12312	12451	0	0	10246	0	0	4592	5495	21815	4873	5882	12448	1	0	0	0	0	0	0	0																									0	9813	0	9956	0	0	0	0	0	0	
208972																																																																																																																																																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25924	26393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	838	7529	234	12828	4938																									0	0	0	0	0	0	0	0	0	0	
209148																																																																																																																																																														0	0	9039	0	0	0	0	0	0	0	0	21528	21440	0	0	0	0	0	0	0	0	0	0	61685	62712	0	0	0	13177	13590	3000	3004	879	0	0	0	879	14412	8612	9990	1137	403	448	1171	5269	9473	3985	2981	3952																									0	0	0	0	0	0	9016	9047	0	0	
209335																																																																																																																																																														0	0	116059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34918	36577	79001	82626	0	0	0	1138	1182	0	0	0	0	0	0	0	0	739	443	0	0	0	0	0	81444	0	29224	5694																									0	0	0	0	0	0	0	0	0	0	
209362																																																																																																																																																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175																									0	0	0	0	0	0	0	0	0	0	
209447																																																																																																																																																														0	0	2834	0	0	0	0	28	28	0	0	9297	9174	0	0	0	0	0	0	0	0	0	0	24302	24482	0	0	0	7696	7698	3848	3757	213	0	0	28	213	3253	1660	9337	2408	0	4	500	0	1890	5187	0	0																									0	0	0	0	0	0	1412	1476	0	0	
209559																																																																																																																																																														0	0	19839	1503	1507	0	0	0	0	0	0	22017	22353	0	0	0	0	0	0	0	0	0	0	34618	35309	0	0	0	11098	11449	0	0	7359	0	0	1457	5902	14610	8275	5065	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
209830																																																																																																																																																														0	0	17968	0	0	0	0	0	0	0	0	5299	5312	0	0	0	0	0	0	0	0	0	0	22765	22764	0	0	0	7701	7619	0	0	0	0	0	0	0	0	2996	7663	2272	0	0	0	0	7560	1350	397	524																									0	0	0	0	0	0	1489	1506	0	0	
209858																																																																																																																																																														0	0	47026	0	0	0	0	0	0	0	0	42474	43739	0	0	0	0	0	0	0	0	0	0	47073	48378	0	0	0	4599	4639	0	0	7167	0	0	151	7016	16295	23224	1460	231	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
210238																																																																																																																																																														0	0	68462	0	0	0	0	4257	4418	0	0	32823	32898	0	0	8386	7777	0	0	0	0	0	0	75375	75842	0	0	0	14644	14870	1821	1834	25442	0	0	25543	1171	9662	5121	15446	3028	893	236	406	294	9881	3783	386	0																									0	0	0	0	0	0	35	40	0	0	
210256																																																																																																																																																														0	0	1154	0	0	0	0	0	0	0	0	754	793	0	0	0	0	0	0	0	0	5890	5528	19466	19931	0	0	0	18399	18822	0	0	1144	0	0	245	1164	2734	1570	13487	451	50	0	100	0	0	0	2742	3279																									0	37	0	37	0	0	0	0	0	0	
210434	0	0	13989159	992658	980173	0	0	0	0	0	0	9684897	9692115	64932	53835	1165372	1164299	43619	43632	2748479	2757986	850418	864509	20257552	20239832	0	577972	600088	54993	55411	0	0	5472375	0	0	11730002	889203	2606061	1627315	301361	71082	0	0	0	0	10362	1173648	5591	2675625	0	0	373748	374185	0	0	219808	190448	0	0	552862	552502	0	0	610502	609782	0	0	0	0	0	0	161509	161600	0	1888517	0	1918429	0	0	0	0	163895	166954	997017	1020115	0	0	0	0	0	0	2435868	2437193	0	0	58938	42987	0	0	200901	201036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				980173																	815749			19937656		577972			55411					0																																																	
210452																																																																																																																																																														0	0	617	0	0	0	0	0	0	0	0	4200	4210	0	0	0	0	0	0	0	0	115	114	4200	4210	0	114	113	0	0	4000	3998	0	0	0	250	0	213	1317	2544	0	0	1	0	0	0	0	0	0																									0	0	0	0	1	1	0	0	0	0	
210555																																																																																																																																																														0	0	2348	0	0	0	0	925	932	0	0	500	512	0	0	0	0	0	0	0	0	6945	7216	35034	35242	0	6945	7216	10539	10610	0	0	855	0	0	861	927	2586	4686	10580	1376	508	0	1232	0	4514	0	5402	9515																									0	0	0	0	0	0	1219	1232	0	0	
211114																																																																																																																																																														0	0	29808	0	0	0	0	90	90	0	0	8276	8233	0	0	1856	1915	0	0	0	0	500	500	36824	37138	0	500	500	14809	15095	4213	4158	1226	0	0	415	896	1639	4740	13415	4728	110	0	0	0	848	9240	948	659																									0	0	0	0	0	0	530	565	0	0	
211338																																																																																																																																																														0	0	3230	0	0	0	0	0	0	0	0	12769	12728	0	0	2525	2639	0	0	0	0	0	0	15302	15376	0	0	0	0	0	5498	5462	523	0	0	0	523	2060	6735	6049	0	0	0	0	0	0	9	0	0																									0	0	0	0	0	0	8	9	0	0	
211851																																																																																																																																																														0	0	1757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9878	10142	0	0	0	3001	3140	0	0	62	0	0	0	62	916	807	1355	0	0	0	302	686	4741	879	0	394																									0	0	0	0	0	0	930	956	0	0	
211954																																																																																																																																																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
212018																																																																																																																																																														0	0	43314	0	0	0	0	0	0	0	0	7104	7260	0	0	493	491	0	0	0	0	31956	31373	68123	69376	0	31956	31373	0	0	6601	6749	363	0	0	746	0	212	6254	16920	15575	3479	12613	8006	21830	5995	5370	4332	0																									0	0	0	0	0	0	24873	25004	0	0	
212335																																																																																																																																																														0	0	3448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7601	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1443	1077	0	0	4980																									0	0	0	0	0	0	2514	2520	0	0	
212344																																																																																																																																																														0	0	3957	0	0	0	0	577	619	0	0	10697	10700	0	0	0	0	0	0	0	0	0	0	42576	43087	0	0	0	18669	18961	3229	3224	1648	0	0	797	661	2374	3589	18847	4013	325	191	33	173	3257	7822	574	432																									0	0	0	0	0	0	1032	1061	0	0	
212465	0	0	5217093	303	311	0	0	0	0	0	0	5260069	5302070	0	0	125154	129452	0	0	0	0	1339213	1646182	20274913	20280669	0	0	0	65135	66074	0	0	1889890	9128	9294	1491219	1884587	3403004	159333	105724	98551	2203879	7	80895	50200	6247592	2834594	1146712	1904291	0	0	148135	148491	0	0	0	0	0	0	157114	156808	0	0	0	0	0	0	0	0	0	0	0	0	0	305299	0	305249	0	0	680417	672774	0	0	10691824	10652904	0	0	117042	91489	0	0	2000291	2030942	0	0	0	0	0	0	838684	839960	1339213	1646182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1339213	1646182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181617	180100	0				311																	1339213			20280669		0			66074					9294																																																	
212522																																																																																																																																																														0	0	61856	0	0	0	0	0	0	0	0	7900	8007	0	0	15794	16348	0	0	1995	2035	0	0	231784	223439	0	0	0	146525	137574	0	0	8577	0	0	4022	4555	9268	10170	32039	103909	79	0	0	0	59379	18	0	0																									0	0	0	0	0	0	725	779	0	0	
213538																																																																																																																																																														0	0	12826	0	0	0	0	0	0	0	0	60069	58368	0	0	0	0	0	0	0	0	2418	2452	92479	91418	0	2418	2452	31513	32133	0	0	6509	0	0	5349	1160	9666	8128	68617	0	63	0	0	0	0	853	0	0																									0	0	0	0	0	0	897	917	0	0	
213912																																																																																																																																																														0	0	4265	0	0	0	0	0	0	0	0	12568	12535	0	0	0	0	0	0	0	0	8	8	18346	18521	0	8	8	5778	5986	0	0	0	0	0	0	0	8	3212	15111	198	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
