"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
342054	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	56	0	0	0																	
342175	156	0	0	0	0	189	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	158	0	0	VISA Interchange Income			ATM Costs													
342362	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	40	0	0				EXAMINATION ASSESSMENT													
342410	0	0	0	0	0	200	218	0	172	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	Mastermoney card fees	Income-merchant accounts		Merchant processing expense													
342634	0	0	0	0	0	2945	0	0	2007	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	Credit card fee income			Software related expenses													
342643	0	0	0	0	0	34	0	0	39	32	28	0	0	0	0	0	0	150	0	0	0	false	0	0	0	0	0	0	0	28	0	0	FEES - DEBIT CARD INTERCHANGE			INDEPENDENT AUDIT EXPENSE	ATM EXPENSE	COMPUTER SOFTWARE MAINTENANCE				CAPITAL INFUSION FROM HOLDING COMPANY							
343051	17	0	0	15	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	false	13	0	0	0	33	0	19	0	11	0				Expenses from automated teller machines (ATMs)													
343248	6	0	0	0	1	1	0	0	5	15	4	0	0	0	0	0	0	0	0	0	0	false	1	-25	0	0	0	0	0	1	3	0	collection and exchang			comp of currency	cpa fees	fed/ach/shazam fees									year end adjustment to ud profits -posted 1-31-2007		
343257	4	4	6	3	1	18	0	0	5	10	3	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	0	1	2	0	11	0	MISCELLANEOUS INCOME, LATE CHGS, & LOAN FEES			TELEPHONE	MISCELLANEOUS EXPENSE	EDUC., DUES, & SUBSCRIPTIONS											
343314	5	0	8	21	3	3	0	0	52	30	19	0	0	0	0	0	0	0	0	0	0	false	14	0	0	3	40	4	30	14	19	0	Wire Transfers			Shares Tax	Bank Examination	ATM Expense											
343341	0	0	0	0	0	180	0	0	816	100	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	Fed Fund Agent Income			FRB Chicago Processing Expense	UMB Processing Expense												
343770	5	0	22	1	1	1	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	true	2	0	0	0	0	0	1	20	8	0	Other Misc. Operating			Audit & accounting	Supervisory exam fees	Telephone								RI-E 2. cont. k. Insurance- 4 l. Courier- 1 m. Dues - 3 n. Other Operating - 1			
343903	56	0	47	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	140	0	0				Professional Fees													
343958	10	0	0	0	0	20	0	0	13	0	0	0	0	0	0	0	0	720	0	0	0	false	0	0	0	0	0	0	0	0	10	0	Mortgage loan fees			Broker fees						Capital infusion							
344236	0	0	0	0	0	29	0	0	33	31	29	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	35	0	0	96	29	0	VISA DEBIT CARD INTERCHANGE			DEFERRED COMPENSATION EXPENSE	OTHER OUTSIDE SERVICES	AUDIT FEES											
344647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	74	0	136	189	0	0																	
344674	6	0	8	0	0	0	0	0	10	11	7	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	10	0	0	26	0	0				Audit Expense	Bank Expense	ATM Expense											
344816	0	0	0	0	0	83	0	0	48	43	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	43	31	0	0	secondary market loan fees			atm expense	kentucky franchise tax												
344852	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	6	0	0	0	0	0																	
345149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
345309	139	0	0	0	0	120	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	210	0	0	284	0	0	Income & Fees from Debit Cards			Consulting/Other Professional Fees													
345345	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	67	0	0				Management Fee													
345747	73	0	0	49	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	63	0	0	230	0	0				Telephone & communication expense													
345756	23	9	27	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	10	0	0	0	0	0	0	84	17	0																	
346566	0	0	27	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Audit and Accounting													
347022	32	0	53	0	0	55	0	0	35	70	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	VISA Checkcard Income			Accounting & Consulting	Software Maintenance & Purchases												
347639	95	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	62	0	0	115	0	0																	
347657	5	0	10	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	4	0	0	1	0	1	3	22	7	0																	
347956	7	0	6	9	4	5	14	15	35	0	0	0	0	0	0	0	0	0	0	0	0	false	9	0	0	3	0	3	2	74	13	0	crd card inc	visa debit	rental income	audit													
348159	2	2	5	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	10	0	0	1	0	2	1	32	7	0																	
348207	70	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	106	0	0	123	0	0																	
348458	11	0	26	5	4	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	11	0	0	2	0	2	6	62	10	0	Mtg loan origination fees																
348542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	50	0	0																	
348551	128	0	63	122	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	41	0	0	9	67	13	34	339	38	2																	
348720	0	0	0	107	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				ATM expense													
348748	0	0	0	0	0	0	0	0	38	43	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	19	92	32	0				Audit Fees	ATM Expense												
349129	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0	0	0	0	0	0	false	0	-236	0	0	0	0	0	38	25	0				ATM Network Fees	Other Outside Service Fees										Net Loss Trading Assets-FASB 159		
349165	40	0	30	0	0	60	28	0	43	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	34	0	0	visa check card	tcb mortgage		visa check card													
349343	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		Data Processing															
349370	183	0	30	4	12	64	6	5	161	81	117	0	0	0	0	0	0	0	0	0	0	false	42	0	0	18	150	9	55	255	63	0	Credit Card Fee Income	Bankcard Income/Merchant	Fee Income Sold & Participated	NOW Account Expense	B & O Sales Tax	Life Insurance Investments											
350433	0	0	29	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	94	0	0				Debit card expense													
350657	0	0	19	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	false	5	0	0	0	0	8	0	1	8	0				Correspondent Bank Fees													
350750	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	20	0				atm expense													
351131	11	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	18	0																	
351207	176	0	186	0	0	0	0	0	125	159	0	0	0	0	0	0	0	-200	0	0	0	false	0	0	0	0	21	0	0	502	0	0				Professional & Mgt fees	ESOP interest expense					Reclass of Equity plan accounts to Parent							
351355	0	0	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
351560	0	0	0	0	0	37	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	SERVICE CHARGES - RET CKS/ODS			AUDIT & ACCOUNTING													
351850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
352035	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	62	0	0																	
352651	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	false	0	-1	45	0	0	0	2	11	0	0				Examination Fees	Fed Pricing & Corresponding Bank Chgs										Outstanding Inc Tax Adj	Recls Def FIT due to Conv to Sub-S	
352745	0	0	0	0	0	34	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	false	20	0	0	0	0	0	0	76	29	0	MPF Servicing Fee			Group Office Expense													
352772	1857	0	0	0	0	850	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	false	0	433	0	0	0	0	0	1366	0	907	Merchant Fee Income									Stock Grants of Parent Company					Adoption of Fair Value FAS 157 and 159 Accounting		
352820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	99	0	0																	
353023	0	0	1	6	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	0	0	0	0	7	0				DONATIONS	MISC. EXPENSE												
353069	8	0	6	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	11	0	0	3	0	0	3	60	12	0																	
353238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	94	0	0	42	27	0																	
353359	18	0	6	10	2	4	0	0	4	8	24	0	0	0	0	0	0	0	0	0	0	false	12	0	0	0	0	3	6	22	14	0	Other Misc Income			Filing Fees	Audit Tax and Accounting	Telephone Expense											
353546	17	0	0	0	0	51	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	lease income			DEPRECIATION LEASED ASSETS													
353555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	386	0	0																	
353724	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	34	0	0	0	0	0				Virginia Bank Franchise Tax													
353751	117	0	18	5	13	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	false	17	0	0	0	0	19	14	168	62	0				Consulting fees - FWBI													
353957	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Securities Premium Amortization Expense	Correspondent Bank Service Charges												
354057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	17	0	0	0	0	0	24	67	17	0																	
354253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	7	0	0	0	0	0																	
354310	0	0	0	0	0	411	0	0	3202	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	293	0	0	0	0	0	Mastermoney Fee Income			Management Fees													
354552	34	2	10	52	21	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	false	36	0	0	1	0	0	34	108	36	0				FEES WRITTEN OFF ON RETIREMENT ACCTS													
354851	12	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3	0	0	0	0	4	1	0	3	0																	
354954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	6	0	0	0	0	0	0	7	0	0																	
355120	24	32	7	6	0	32	0	0	64	60	0	0	0	0	0	0	0	0	0	0	0	false	37	0	0	0	59	0	168	9	42	0	Origination Fees			ATM Expenses	Telephone Expenses												
355559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
355737	1	0	2	1	4	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	0	1	0	4	0	Progressive Ins Rebate			Correspondent Bank Charges	Insurance & Surety Bonds												
355746	28	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	26	0	0				Management Fees													
355821	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	234	0	0	0	0	0				EDP Services													
355858	0	0	0	0	0	11562	0	0	4444	1528	1154	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	CREDIT CARD FEES			PROCESSING & SERVICING FEES - CREDIT CARD	FDR FEES - CREDIT CARD	ACQUISITION FEES - CREDIT CARD											
356145	2	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	0	1	1	0	2	0																	
356239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
356659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	47	0	0																	
356752	0	0	16	0	0	8	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	false	8	0	0	0	0	0	0	0	26	0	OTHER EXPENSE			PROFESSIONAL SERVICE EXPENSE													
356949	0	0	19	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Audit and examination expense													
357049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	60	131	0	0																	
357151	0	0	40	40	0	0	0	0	30	61	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	28	0	65	0	0				ACCOUNTING	TRAVEL												
357375	276	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	Other Fees																
357526	0	0	28	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	false	0	2	623	0	37	0	0	84	40	0				Subs, Ref Bks & Services											Misc adjs from auditors	Pension adjustment from auditors	
357553	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	29	0	0	MANAGEMENT FEE																
357777	0	0	0	0	0	24	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	49	0	0	ATM   ATM CARD REVENUE			AUDIT   EXAM FEES													
357834	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	31	0	0				Management Fees													
357937	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	45	0	36	0				Ad Valorem Taxes-Shareholder Assessment													
358112	25	0	28	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	12	0	0	3	43	9	5	25	11	0																	
358149	1	0	2	4	0	6	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	0	0	1	5	2	0	Fees			Transportation	Education and Dues	Exams											
358233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	27	0	0	0	0	0																	
358448	14	0	16	0	0	0	0	0	17	17	15	0	0	0	0	0	0	0	0	0	0	false	13	0	0	0	0	0	24	0	17	0				CPA	ATM	BOUNCE											
358756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	13	0	0																	
359324	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	34	0	0				Telephone													
359360	38	0	11	0	0	0	0	0	19	11	0	0	0	0	0	0	0	1000	0	0	0	false	1	0	0	0	0	0	0	40	24	0				Telephone expense	Professional fees					Capital contribution from parent holding company							
359650	6	0	3	0	2	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	false	3	0	0	0	0	0	1	10	2	0				SCHOOLS	ATM   VISA FEES												
359744	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	4	4	0				SERVICE FEES TO CORRESPONDENT BANKS													
359838	0	0	14	0	0	21	152	0	25	133	30	0	0	0	0	0	0	0	0	0	0	false	14	0	0	0	0	0	0	30	15	0	SERVICE CHARGE ON ACCOUNTS	MISCELLANEOUS INCOME		EXAMINATIONS AND AUDITING	CONSULTING	DEBIT CARD											
359847	7	0	8	0	5	44	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	false	3	0	0	7	16	14	7	0	21	0	Check card income			Management fees paid to parent													
359856	0	0	0	9	9	2	0	0	8	6	5	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	2	0	7	2	0	Credit Life Income			Service Fees	Taxes, Other Than Income Taxes	Robbery Loss											
360777	0	0	14	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	7	0	0				DEFERRED COMP	AUDIT ACCOUNTING												
360834	0	0	0	0	0	16	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	27	0	0	35	0	0	Debit Card income			Professional Services													
360843	0	0	5	0	4	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	false	5	0	0	0	0	0	0	39	5	0	OTHER FEE INCOME			OTHER INSURANCE													
360955	0	0	6	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	3	0				Accounting and Tax Prep	Courier												
361055	0	0	0	0	0	373	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	835	0	0	Merchant Income	Interchange Fee Income															
361167	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
361279	24	0	3	1	2	22	7	2	11	7	5	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	0	0	7	52	8	0	Income on Mortgage Loans Originated	Check Cashing Fees	Other	Audit & Accounting	Telephone	Organization Dues & Subscriptions											
361354	0	0	21	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	8	0				consulting fees													
361439	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	65	0	0	Fixed Rate Mortgage Commissions																
361457	0	32	0	61	0	0	83	0	47	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		other fee income		fica taxes													
361541	0	0	0	0	0	21	0	0	13	26	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	17	0	0	0	0	Other Income - sale of old coin			Contributions	Other Outside Service Fees												
361653	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	109	0	0				Factoring expenses													
362007	2445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3739	0	false	0	-714	0	0	1570	0	0	2692	0	0												Westbank Acquisition			Adoption of FIN 48		
362043	0	0	0	0	1	24	5	0	3	3	2	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	7	1	0	Data Processing Fee	Van Lease		Accountant Fees	Iowa Division of Banking assessment	Blanket Bond premium											
362052	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	15	44	0	0				OCC ASSESSMENT													
362155	11	0	25	3	3	2	4	0	11	15	0	0	0	0	0	0	0	0	0	0	0	false	18	0	0	1	0	9	0	20	26	0	RENTAL INCOME	OIL & GAS ROYALTIES		OCC ASSESSMENT	INTERNAL AUDIT/EXAMINATION FEES												
362717	0	0	0	0	0	0	0	0	140	120	101	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	92	0	0	0	0	0				Postage, Stationery & Supplies	Other Taxes	Professional and Examination Expenses											
362753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
362856	16	0	0	0	0	0	0	0	7	10	19	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				ATM EXPENSES	BANK CHARGES	ACCOUNTING & AUDIT											
362940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	13	0	0	0	7	0																	
363264	14	0	7	21	1	0	4	0	0	14	22	0	0	0	0	0	0	0	0	0	0	false	5	0	0	0	0	1	5	10	15	0		misc inc.			accounting	all other											
363415	9653	0	0	0	0	31671	0	0	7424	0	0	0	0	0	0	0	0	-6491	0	71	0	false	0	-4587	0	0	0	0	0	0	0	0	Debit card interchange revenue			ATM interchange expense						Reimbursement of expense related to employee stock option award		Transfer from allowance for unfunded commitments			FIN 48 adjustment		
363442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	8	0	0																	
363648	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
363657	96	13	10	0	9	4	0	0	78	24	23	0	0	0	0	0	0	0	0	0	0	false	47	0	0	12	35	18	12	86	74	0	Gain on OPP			Collection Expense	Misc Service Charge Expense	Comp of Currency Expense											
363956	0	0	0	0	0	5779	5211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	2118	0	0	0	0	0	0	2371	0	0	Annual membership fees	Interchange fees															
364056	2	0	5	0	1	0	0	0	8	4	8	0	0	0	0	0	0	0	0	0	0	false	4	0	0	1	0	1	2	23	10	0				Blanket bond, D&O, liability insurance	Telephone	Bank account service charges											
364131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
364337	14	0	0	0	0	0	0	0	13	20	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	52	0	0				Inter Company Loan Servicing	Inter Company Operation Expense												
364430	0	0	15	0	0	28	0	0	20	38	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	23	44	0	0	IPI Lease			Services - External Auditors	Computer Expense												
364449	0	0	0	0	0	283	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	296	0	0	0	0	0	INCOME AND FEES FROM ATM AND DEBIT CARDS			3rd PARTY PROCESSING AND SOFTWARE MAINT.													
364850	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	14	0				Computer Software & Support													
364971	5	0	6	0	0	0	0	0	10	6	5	0	0	0	0	0	0	0	0	0	0	false	0	11	0	0	8	0	0	20	0	0				ATM PROCESSING	AUDIT FEE	INSURANCE									AUDITOR ADJUSTMENT FOR INCOME TAXES		
365325	0	0	0	0	0	0	0	0	1368	0	0	0	0	0	0	0	0	0	0	66	0	false	0	0	0	0	897	0	0	582	0	0				Management Fees								Reclass between allowance for lending related committments and allowance for loan					
365455	12	0	13	11	2	0	0	0	81	0	0	0	0	0	0	0	0	0	0	1040	0	false	21	0	0	3	0	3	12	44	30	0				fraud losses	0							ALLL acquired thru acquisition of Tx Premier Bank, NA					
365651	69	0	0	65	0	92	256	0	80	66	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	353	0	0	Exchange fees	Debit card fees		Debit card processing	Loan processing												
365745	0	0	0	18	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	25	0	0				Mortgage Refinance Expense													
365848	23	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Telephone	Examination Fees												
365875	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	1	1	0																	
365941	0	0	0	0	0	0	0	0	13	121	12	0	0	0	0	0	0	0	0	0	0	false	13	0	0	0	0	12	0	35	0	0				CONSULTANT FEES	LOSS ON SALE OF ASSETS	INSURANCE-GENERAL											
365950	0	0	0	0	0	15	0	0	16	14	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	50	18	0	MORTGAGE COMPANY COMMISSIONS			TELEPHONE	INSURANCE												
366078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	78	0	0	164	0	0																	
366238	144	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	91	0	0	0	0	0	Loan fees RE-Secondary Mortgage																
366247	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
366359	3	0	7	5	1	4	0	0	18	9	9	0	0	0	0	0	0	0	0	0	0	false	14	0	0	2	0	0	9	20	8	0	Other			PROFESSIONAL FEES	INSURANCE	AD VALOREM TAXES											
366658	8	0	6	2	7	0	0	0	14	18	14	0	0	0	0	0	0	0	0	0	0	false	15	0	0	4	0	13	2	0	13	0				Audit/CPA Expense	Sundries	Public Relations											
366854	10	0	1	1	1	0	2	0	7	6	5	0	0	0	0	0	0	0	0	0	0	false	3	0	0	1	0	4	0	16	9	0		EXCHANGE		ACCOUNTING FEES	SERVICE CHARGE EXPENSE	TELEPHONE											
367150	4	0	8	14	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	false	7	0	0	5	0	7	2	0	1	0				other service fees													
367208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
367244	0	0	6	0	0	0	0	0	7	7	6	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	6	0	0				EMANINATION FEES	CORRESPONDANT BANK S/C	TRAVEL & LODGING											
367431	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	75	41	0																	
367543	17	0	29	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	17	0	0	12	0	1	50	8	27	0																	
367673	99	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	161	0	0	151	0	0				Deferred compensation expense													
367851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	58	28	0																	
367954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
368054	12	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	9	0	0	8	0	11	0	14	10	0																	
