"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
411651	0	0	0	0	7	0	0	0	20	6	5	0	0	0	0	0	0	0	0	0	0	false	12	0	0	10	0	0	0	45	8	0	21	7	0	8	6				Office & Management Fees	Auto & Travel	Correspondent Bank Fees											
412135	0	0	0	900	1531	204	1178	0	-597	289	527	0	0	0	0	0	0	389	0	0	0	true	0	0	0	0	0	0	96	445	0	0	0	329	0	0	0	S/C STDBY L/C	CUSTOMER SWAP FEES		PROVISION UNFUNDED COMMITMENTS	NON CAP SOFTWARE LEASE/MAIN	LOSS EARLY EXTINGUISH DEBT				PUSH DOWN OF STOCK BASED COMPENSATION				2. Other noninterest expense 2.o. Facility telephone/telegraph 272 2.p. Oreo Real Estate Tax Expense 388 2.q. Oreo Provision 760			
412153	6	0	41	12	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	15	0	0	0	0	15	24	10	13	0	0	14	0	7	0																	
412452	9	0	16	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	7	0	0	9	0	1	0	25	5	0	0	0	0	0	0																	
412555	6	0	9	0	1	34	9	4	7	15	3	0	0	0	0	0	0	0	0	0	0	false	3	0	0	1	6	0	1	22	4	0	0	6	3	0	3	Business Manager PBI A/R SC Income	DCI Stock Dividend	Misc Loan Fees	OCC Exam Fees	PBI A/R Fees	KBA Ins Prem											
412667	7	6	26	0	13	4	0	0	15	25	27	0	0	0	0	0	0	0	0	0	0	false	18	0	0	0	0	8	28	14	26	0	0	11	0	40	26	EXCHANGE			OTHER TAXES	TRAVEL	CUSTOMER RELATIONS											
412751	0	0	0	0	1304	2127	2106	0	1967	694	707	0	0	0	0	0	0	0	0	0	0	true	777	0	0	0	0	0	2388	1232	896	0	11819	0	0	2539	2336	Debit card fees	Check cashing fees		Software Depreciation	Software maintenance	Courier/armored expense								2. Charitable contributions $701, Debit card Interchange $2,262, OD Collection expense $1,208			
412845	0	0	32	0	35	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	false	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0				SERVICE AGREEMENTS													
413141	0	0	0	280	318	82	46	0	84	0	0	0	0	0	0	0	0	0	0	0	0	true	493	0	0	0	0	0	0	0	128	0	0	0	0	0	0	Management Fee Income	Phone Pay Fees		Foreclosure and inventory expenses										$1,562,977 of delinquency is a result of matured balloon notes, however, monthly payments are current.			
413208	36794	0	0	0	34113	267010	20618	45772	441666	0	0	0	0	0	0	0	0	528	0	437296	0	false	0	14653	0	0	0	0	0	0	0	111632	97867	0	0	0	0	Credit and charge card fees	Fee Income on letters of credit	Loan commitment fees	Operating expense paid to affiliates						Capital Contribution		Allowance related to loans acquired		Cont of item 1 - Income from Affiliates 37,620, Customer non-deposit related serv fees 24,392	Adjustment to initially apply FSP SFAS 115-2 and FAS 124-2, net of tax		
413347	0	0	7	4	4	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	false	8	0	0	0	0	0	13	38	4	0	3	0	0	0	0				Equipment Service & Rentals	Depreciation-Furniture & Equipments												
413543	17	0	5	7	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	8	0	0	6	0	3	0	16	11	0	0	6	0	0	3														Bank converted from Sub C Corporation to Sub S Corporation during first quarter of 2009.			
413646	30	3	22	30	37	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	7	0	0	0	0	8	37	0	0	0	Tax/Bookkeeping Income																
413730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
413758	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
413851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
414102	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	30	0	0	0	41	0	0	38	40	0	0	148	0	0	0																	
414652	4	0	12	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	13	0	0	0	20	8	5	22	11	0	0	8	0	0	4																	
414764	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	false	32	0	0	0	27	0	28	82	48	0	45	0	0	0	0				dues and services													
414858	0	0	0	0	0	28	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	67	28	0	0	0	39	0	0	EXCHANGE FEES			OREO PROPERTY TAXES													
415855	1	0	4	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	0	0	4	2	0	2	9	0	5	1	wire fees	return check fees		insurance and bonds													
416245	587	0	0	210	613	0	0	0	437	0	0	0	0	0	0	0	0	40000	0	0	0	false	296	0	0	0	2317	135	428	1101	273	0	779	0	0	468	338				Affiliate Contract Services						Capital Contribution							
416272	1	0	21	0	13	1	0	0	5	6	5	0	0	0	0	0	0	0	0	0	0	false	3	25	0	0	17	0	9	42	2	0	0	7	0	12	0	Misc. Operating Income			Supervisory Exam Fees	Dues & Subscriptions	Bank Service Charges									Audit Adjustments	615	
416339	0	0	0	0	42	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	QIK FEES																
416348	40	0	0	36	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	40	122	30	0	0	0	0	0	0																	
416357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
416656	6	0	9	8	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	15	0	0	0	18	3	38	6	21	0	5	5	9	28	9																	
416674	0	0	28	0	89	134	44	0	41	190	31	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	177	28	0	0	39	0	0	39	Profit/Loss Sale of Loans	Debit Card Income		Serp Expense	REO & Loan Expense	Debit Card Expense											
417149	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	36	0	0	0	0	0	0	0	68																	
417251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
417626	0	0	30	39	67	35	2	0	36	42	39	0	0	0	0	0	0	0	0	0	0	false	28	0	0	0	0	9	4	222	53	0	8	45	0	0	0	Visa Debit Income	Wire Transfer Fee		Charitable Contributions	WV Business Franchise Tax	Computer Supplies & Software											
417710	0	0	0	0	0	17	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	21	0	0	0	12	11	0	0	OTHER INCOME			TAXES OTHER													
417859	55	0	0	0	0	0	0	0	240	41	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	33	0	205	119	28	0	0	0	0	102	37				BACK OFFICE EXPENSE	OTHER REAL ESTATE OWNED EXPENSE												
418100	12	0	0	14	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	18	0	0	0	0	29	13	221	25	0	0	38	0	0	12																	
418249	48	0	47	0	142	87	50	12	48	179	65	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	139	29	21	517	76	0	34	0	0	0	0	Data processing	Support services to affiliate	Letter of credit fees	Bank insurance	Tax service fees	FRB service fees											
418342	14	2	9	12	87	15	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	9	0	0	2	0	2	2	88	11	0	12	35	41	14	19	Mortgage banking income	Merchant credit card income															
418436	2	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	0	7	2	8	3	0	0	0	0	0	0																	
418856	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	6	0	0	0	0	9	0	32	0	0	0	0	0	0	0																	
419255	7	0	3	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	15	0	0	4	0	6	10	0	21	0	70	24	0	56	10																	
419406	328	0	0	0	577	867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	245	0	0	0	382	0	0	955	0	0	869	0	0	638	0	payroll processing income																
419460	0	0	27	0	0	0	0	0	61	0	0	0	0	0	0	0	0	200	0	0	0	false	0	0	0	0	45	0	96	0	0	0	0	44	0	65	0				OREO and problem loan expenses						Injection of capital into the bank by the holding company							
419675	73	6	47	63	86	363	51	31	188	90	92	0	0	0	0	0	0	0	0	0	0	false	71	0	0	4	24	0	21	179	56	0	79	23	89	39	41	Management Fee Income	Application Fees	Commercial Loan Processing Fee	Management Fee Expense	Software Expense	Other Non-Operating Charges											
419947	1	1	2	1	1	3	0	0	6	4	3	0	0	0	0	0	0	0	0	0	0	false	5	0	0	0	0	3	0	27	3	0	0	0	0	0	3	PRE-PAID INSURANCE			COURIER FEES	PRE-PAID INSURANCE ADJUSTMENT	STATE BANK ASSASSMENT											
420457	0	12	57	32	169	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	69	0	0	0	0	27	42	185	90	0	109	0	0	67	45	Misc Commissions																
420644	28	0	29	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	27	34	0	51	37	0	47	35																	
420653	14	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	7	0	8	27	0	0	0	0	0	0	0																	
420934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	0	false	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0										Additional Paid In Capital							
421155	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	0	2	0	11	2	0	0	0	0	0	0																	
421445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0																	
421539	16	0	35	9	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	11	0	0	0	0	6	13	93	30	5	0	13	0	15	36																	
422059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	false	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0										Capital Injection by KansasLand Bancshares Inc - Holding Co							
422116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0																	
422358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
422433	195	10	0	78	228	19	10	0	103	94	152	0	0	0	0	0	0	6000	0	0	0	false	52	0	0	0	0	24	79	246	116	0	170	0	62	191	0	Wire Transfer Fees	Miscellaneous - prior year restituation payment for fraud		Insurance Exp	Travel	Tax on Capital	18039			Capital injection from Parent Company							
422657	0	0	0	0	45	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Bank Service Charges													
423065	218	0	15	91	24	326	542	53	101	0	0	0	0	0	0	0	0	3500	0	0	0	false	24	451	0	8	10	3	0	593	55	0	25	47	141	42	159	FUNDS TRANSFER FEE	FUNDS TRANSFER FX FEE	MORTGAGE BROKER FEES	SOFTWARE DEPRECATION EXPENSE						CAPTIAL INFUSION 2/09					TAX ADJUSTMENT FOR YEAR END OF 2008		
423074	0	0	0	73	371	0	0	0	60	32	28	0	0	0	0	0	0	1000	0	0	0	false	0	0	0	0	0	0	27	57	0	0	0	0	0	0	32				Collection & ORE Expense	Loan Operations	Repo Expense				Capital Injection							
423159	26	0	0	12	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	22	0	0	0	0	16	0	4	44	0	0	0	0	0	0																	
423449	62	0	85	0	105	150	149	20	44	38	32	0	0	0	0	0	0	0	0	0	0	false	41	-662	0	0	100	19	17	264	60	0	0	46	0	85	39	Commission income - visa check card	Merchant processing fee income	Commission income - Deluxe checking accounts	FHLMC Servicing Fee Expense	Loan related expense	Other assessment expense									Retained earnings adj - EITF Issue No. 06-4		
423458	170	0	0	76	67	0	0	0	51	40	0	0	0	0	0	0	0	13533	0	0	0	false	0	0	0	0	63	0	100	210	69	0	0	91	101	0	203				Credit & Investigative Reporrts	Debit Card Expenses					Contribution of Capital							
423636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
423739	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	39	146	0	0	0	16	0	0	0	Mortgage Loan Fees																
423841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												Transfer from Undivided Profits to ALL					
424156	0	0	0	0	19	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	false	13	0	0	0	0	0	0	14	12	0	0	10	0	0	13				Computer software depreciation	Public Relations												
424240	15	0	0	0	0	55	8	55	28	57	73	0	0	0	0	0	0	0	0	0	0	false	21	0	0	0	0	0	0	12	19	0	29	0	0	0	0	FNMA ORIG FEES & PREM/DISC	CLA LOAN FEE INCOME	MLA LOAN FEE INCOME	MLA LOAN EXPENSE	COMPTROLLER/CURR-ASSESMENTS/CREDIT/DEBIT CARD EXP	IN-HOUSE COMP EXP/RE TAX BANK OWNED PROPERTY											
424343	0	0	0	0	29	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	39	0	0	0	26	35	26	0	Commissions and Fees Loans																
424352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0																	
424437	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	9	0	0	2	0	0	5	1	nsf fees																
424633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
425050	4	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	0	0	0	3	5	0	0	0	0	0	0																	
425108	63	0	45	0	31	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	29	155	0	0	0	58	53	0	0				mortgage processing exp													
425818	0	0	0	0	0	50	0	0	30	57	0	0	0	0	0	0	0	0	0	0	0	false	31	0	0	0	0	0	0	48	0	0	35	0	0	0	0	Income Received from Data Processing Services			Bank Shares Assessment	Other Real Estate Expense												
425845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
425911	103	0	51	0	417	31	40	0	42	181	47	0	0	0	0	0	0	0	0	0	0	false	63	0	0	32	157	63	23	173	89	0	266	66	204	197	45	Letter of Credit Fees	Mortgage Dcoumentation and Modification		PHEAA Servicing Fees	Shares Tax	Deposit Accounts C/O											
425957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0																	
425975	55	0	42	42	62	0	0	0	54	38	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	35	191	54	0	84	40	52	0	45				Debit card expense	Insurance & Surety Bond expense												
426057	3	13	9	2	8	91	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	false	7	0	0	1	0	0	2	45	15	0	0	14	0	6	6	collection and exchange fees			due from bank service charges													
426141	3	0	11	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	1	0	0	4	0	0	9	0	0	1																	
426347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
426534	324	0	0	182	239	176	440	49	189	115	0	0	0	0	0	0	0	0	0	0	0	false	164	0	0	49	0	84	0	633	208	0	276	0	0	0	188	Document Preparation Fees	Loan Application Fees	Check Orders	Appraisal Fees	VISA Check Card Fees												
426758	11	0	16	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	8	0	0	0	0	5	6	57	10	0	0	5	0	1	4																	
426945	6	0	26	2	21	20	9	7	13	10	4	0	0	0	0	0	0	300	0	0	0	true	7	0	0	2	0	3	8	0	8	0	0	9	0	13	0	MISC LOAN INCOME	ATM/POS NETWORK	FEES AND COMMISSION	PCS IMAGING EXPENSE	CORRESPONDENT BANK SC	INTERNET EXPENSE				TRANSFER FROM MILTON BANCSHARES TO INCREASE CAPITAL				RI-M11 WE WENT TO SUBCHAPTER S AS OF JANUARY 1, 2009			
427241	40	0	57	24	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	28	0	0	0	0	0	12	0	0	0	196	18	0	29	31																	
427353	0	0	0	0	0	32	0	0	100	0	0	0	0	0	0	0	0	81	0	0	0	true	0	0	0	0	33	0	0	0	29	0	43	0	0	33	27	Real Estate loans held for sale orig			other assets gains and losses						see below				Entry was made relating to 2006 acquisition.  The entry represents expenses paid by the holding company relating to the acquisition.			
427456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
427858	0	0	0	0	0	0	0	0	50	28	0	0	0	0	0	0	0	450	0	0	0	false	0	0	0	0	0	0	43	79	0	0	0	0	0	29	0				Losses on Visa Card Disputes	Internet Banking Expense					Addition to Capital							
427960	13	0	11	0	8	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	7	0	0	2	0	2	0	23	14	0	11	11	0	9	8	Wire Transfer Fees	Credit Report Fees															
428060	0	0	0	0	113	101	0	0	97	0	0	0	0	0	0	0	0	1000	0	0	0	false	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	Bank Cards Merchant Income			Bank Card Loans Operating Expense						Contributed Capital							
428462	35	0	28	45	40	35	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	32	0	0	0	0	0	0	160	28	0	0	0	0	0	51	COLLECTION FEES	OTHER INCOME															
428547	0	0	0	0	62	0	0	0	110	0	0	0	0	0	0	0	0	4000	0	0	0	false	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0				Affiliate Loan Servicing						Capital Infusion							
428631	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	51	0	25	0	0	0	0	0	0	0	0																	
428659	3	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	0	1	0	1	6	0	0	7	0	1	1																	
428855	32	6	10	3	23	5	0	0	9	31	10	0	0	0	0	0	0	0	0	0	0	false	23	0	0	4	0	1	10	0	14	0	26	6	2	13	9	filing fees			repo	software	corr sc											
428958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0																	
429021	27	0	42	0	61	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	false	42	0	0	0	0	0	0	133	0	0	0	0	0	33	0				internet banking expenses													
429759	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	81	55	25	0	0	0	0	40	0																	
430036	17	2	22	38	33	21	7	43	0	33	23	0	0	0	0	0	0	0	0	0	0	false	37	0	0	0	3	25	17	40	32	0	0	0	0	0	0	CHECK CASHING FEES	MONEY ORDER AND MISC	VISA CHECK CARD FEES		ATM	BUSINESS MANAGER											
430054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7	0	0	0	false	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0										shareholder distribution							
430344	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
430670	98	0	0	52	190	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	false	0	1563	0	0	75	0	32	173	30	0	0	34	0	0	0				Loan Fees											EARLY ADOPTION OF FSP FAS 115-2		
430858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0																	
431172	189	0	29	28	286	41	7	0	68	35	29	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	146	1	0	154	72	0	0	74	12	0	41	Other Nonoperating Income	Other Loan Fees		Courier	Bank Service & Other Charges	Publications & Subscriptions											
431323	0	0	52	0	0	0	0	0	34	29	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	48	0	0	36	29	0	0	45				Supplemental Executive Retirement	Ohio Franchise Tax												
431350	17	0	18	10	10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	false	7	0	0	1	4	1	2	0	3	0	0	10	0	0	3				MISC EXP ACCRUAL													
431743	36	0	15	30	63	183	190	39	411	60	48	0	0	0	0	0	0	1600	0	0	0	false	4	-107	0	9	0	5	7	0	33	0	39	34	0	29	41	LINE OF BUSINESS REV 1ST ARMORED COURIER SERVICE	LINE OF BUSINESS REV 1ST TITLE PREM INC	DEBIT CARD INTERCHANGE	INTERCOMPANY EXPENSE	MISC EXPENSE	ORE EXP WRITE DOWN				CAPITAL INFUSION					Adjustment to prior year equity for change in Minority Interest reporting		
431846	0	0	1	2	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	0	0	0	6	2	0	0	0	0	0	0				Insurance and blanket bond													
431958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
432012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
432058	0	0	22	0	24	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	false	4	0	0	1	0	0	0	39	7	0	0	3	9	0	0				Other misc expense													
432432	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	29	6	15	82	0	0	50	0	0	33	0	mortgage origination fee																
433158	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				SOFTWARE EXPENSE													
433354	49	0	0	0	53	0	0	0	63	119	0	0	0	0	0	0	0	0	0	0	0	false	43	0	0	0	0	0	106	98	36	0	0	0	0	55	29				Airplane	Loan Servicing Expense												
433439	8	0	15	0	2	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	false	7	0	0	0	0	2	8	9	9	0	18	5	0	20	4	C.D. Penalties			Clearing house fees													
433505	108	0	0	0	379	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	67	0	0	0	0	22	29	0	38	0	85	0	74	41	0	Wire Transfer Fees																
433550	40	59	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	false	27	0	0	0	0	0	48	0	36	0	0	66	0	27	0				Other Real Estate (mostly prior year taxes)													
433608	240	0	0	0	137	3689	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	false	280	0	0	0	0	0	0	656	141	0	327	0	597	0	0	AFFILIATE SERVICE CHARGES									TAX BENEFIT OPTIONS EXERCISED							
433859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												Adjustment for loss on sale of OREO Property					
433943	12	0	17	9	47	0	0	0	15	11	9	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	32	21	3	0	29	0	27	0	11	19	0				Insurance	Contribution, Donations	Dues											
434203	48	0	0	0	143	425	0	0	44	33	0	0	0	0	0	0	0	0	0	0	0	false	36	0	0	0	85	82	31	0	41	0	92	0	75	111	48	fees for originating loans for other banks			bill payment fees	auto & travel												
434539	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	22	0	0	129	0	0	0	0	0	0	0																	
435059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	34	0	31	0	0	0	0	27	0																	
435152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	Agency Net Income																
435255	2	0	8	4	2	2	1	0	5	1	7	0	0	0	0	0	0	0	0	0	0	false	4	0	0	2	0	0	0	2	10	0	0	12	5	0	2	REIMBURSE LEGAL FEES	MISC		OTHER INSURANCE	DUES   SUBSCRIPTIONS	OTHER MISC											
435349	0	0	59	46	164	0	0	0	58	53	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	123	10	104	802	54	0	0	0	0	62	0				Charitable contributions	Other outside service fees												
435358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0																	
435666	11	3	10	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	11	0	0	6	0	5	3	74	10	0	0	8	4	2	17																	
435750	56	0	26	0	60	0	0	0	83	73	0	0	0	0	0	0	0	0	0	0	0	false	43	-80	0	0	108	0	0	174	74	0	86	0	0	0	43				Pulbic elations	Other Professional Fees										Amortization  of Core Intangile Assets		
436131	9	0	42	13	53	70	74	31	25	23	32	0	0	0	0	0	0	0	0	0	0	false	31	0	0	17	73	13	20	36	20	0	82	31	1	105	72	Fees on Loans Sold	Data Processing Fees	Mortgage Closing Fees	HC Management Fee	Business License Tax	Internet Banking Expense											
436159	292	0	0	233	332	136	0	0	294	286	235	0	0	0	0	0	0	0	0	0	0	false	149	0	0	0	0	56	96	501	0	0	596	0	385	0	340	GIFT CARD SERVICE CHARGES & FEES			REPO/ORE EXPENSE	LICENSES/MAINTENANCE FEES	VISA TRANSACTION EXPENSE											
436542	18	0	7	2	24	18	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	17	0	0	2	8	8	3	24	13	0	0	5	0	0	4	Secondary Market RE Fees	Data Processing Fee Income															
436711	0	0	139	0	1448	0	0	0	0	0	0	0	0	0	0	0	0	65	313	0	0	false	0	0	0	0	123	8	17	708	564	0	0	289	0	0	0										ADDL CONTRIBUTION OF CAPITAL	RECLASS OF INVEST IN SUBS FROM MEZZ TO CAPITAL						
436739	42	0	0	0	0	33	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	26	0	0	0	0	0	0	38	0	0	0	Payment Processing Fees			Management Fees													
