"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
126049	5634	0	0	82904373	BANK OF STAR CITY	JEFFERSON STREET 	STAR CITY	AR	71667	041	2005-08-08T16:16:33
126254	1479	0	9404	84302656	WEAKLEY COUNTY BANK, THE	106 CHURCH STREET 	DRESDEN	TN	38225	041	2005-08-08T16:16:33
126553	8850	0	0	91900106	NORTH SHORE BANK OF COMMERCE	131 WEST SUPERIOR STREET 	DULUTH	MN	55802	041	2005-08-08T16:16:33
126740	14924	14310	0	81904015	FIRST NATIONAL BANK IN STAUNTON, THE	115 SOUTH ELM STREET 	STAUNTON	IL	62088	041	2005-08-08T16:16:33
126834	893	0	0	64107729	CITIZENS BANK	406 MAIN STREET 	CARTHAGE	TN	37030	041	2005-08-08T16:16:33
126955	1395	0	12140	91910439	VALLEY BANK DUNDAS	715 STAFFORD ROAD NORTH 	DUNDAS	MN	55019	041	2005-08-08T16:16:33
127055	5131	13116	12883	91900067	WESTERN NATIONAL BANK	5629 GRAND AVE. 	DULUTH	MN	55807	041	2005-08-08T16:16:33
127224	7886	9480	12526	43311662	FIRST UNITED NATIONAL BANK	STATE RT 157 	FRYBURG	PA	16326	041	2005-08-08T16:16:33
127260	23594	17114	16039	122238682	SAN DIEGO NATIONAL BANK	1420 KETTNER BOULEVARD 	SAN DIEGO	CA	92101	041	2005-08-08T16:16:33
127701	90148	0	12199	211374046	BARRE SAVINGS BANK	COMMON STREET 	BARRE	MA	01005	041	2005-08-08T16:16:33
128164	23595	0	0	122238611	NETWORK BANK USA	845 NORTH EUCLID AVENUE 	ONTARIO	CA	91762	041	2005-08-08T16:16:33
128258	492	0	0	91404000	WESTERN DAKOTA BANK	MAIN ST. 	TIMBER LAKE	SD	57656	041	2005-08-08T16:16:33
128511	26621	0	0	26010883	MITSUBISHI TRUST & BANKING CORPORATION (U.S.A.)	520 MADISON AVENUE 	NEW YORK	NY	10022	031	2005-08-08T16:16:33
128904	32773	0	12134	11301798	EASTERN BANK	53 STATE STREET 13TH FLOOR	BOSTON	MA	02109	041	2005-08-08T16:16:33
128959	20068	0	11105	107001672	FIRSTBANK OF WHEAT RIDGE	4350 WADSWORTH BLVD 	WHEAT RIDGE	CO	80033	041	2005-08-08T16:16:33
129349	1049	14437	0	81909722	FIRST NATIONAL BANK OF STEELEVILLE	319 WEST BROADWAY 	STEELEVILLE	IL	62288	041	2005-08-08T16:16:33
129358	9467	0	0	103112510	FIRST STATE BANK	120 EAST FIRST STREET 	GRANDFIELD	OK	73546	041	2005-08-08T16:16:33
129394	38129	0	0	325182946	RAINIER PACIFIC SAVINGS BANK	3700 PACIFIC HIGHWAY EAST, SUITE 200 	FIFE	WA	98424	041	2005-08-08T16:16:33
129479	22939	0	0	125107697	WHEATLAND BANK	222 NORTH WALL STREET, SUITE 308 	SPOKANE	WA	99201	041	2005-08-08T16:16:33
129732	20624	0	0	71001533	NORTH COMMUNITY BANK	3639 NORTH BROADWAY 	CHICAGO	IL	60613	041	2005-08-08T16:16:33
129853	9932	0	15728	91401647	COMMERCIAL STATE BANK OF WAGNER	204 SOUTH MAIN STREET 	WAGNER	SD	57380	041	2005-08-08T16:16:33
129910	8785	0	0	42106580	PEOPLES EXCHANGE BANK	MAIN STREET P.O. BOX 127	BEATTYVILLE	KY	41311	041	2005-08-08T16:16:33
130345	9536	0	9943	75907002	COMMUNITY STATE BANK	1500 MAIN STREET BOX 66	UNION GROVE	WI	53182	041	2005-08-08T16:16:33
130541	4360	2747	9216	71201320	HORIZON BANK, NATIONAL ASSOCIATION	515 FRANKLIN SQUARE 	MICHIGAN CITY	IN	46360	041	2005-08-08T16:16:33
130635	25645	0	13755	62203515	FIRST COMMERCIAL BANK OF HUNTSVILLE	301 WASHINGTON STREET 	HUNTSVILLE	AL	35801	041	2005-08-08T16:16:33
130813	6516	5425	10519	41205929	LIBERTY NATIONAL BANK	118 S MAIN ST 	ADA	OH	45810	041	2005-08-08T16:16:33
130943	10100	0	8919	74902341	IRWIN UNION BANK AND TRUST COMPANY	500 WASHINGTON STREET 	COLUMBUS	IN	47201	031	2005-08-08T16:16:33
131034	16442	0	0	63105544	CITIZENS BANK OF OVIEDO, THE	156 GENEVA DRIVE 	OVIEDO	FL	32765	041	2005-08-08T16:16:33
131155	4107	9964	13283	103103244	CITY NATIONAL BANK AND TRUST COMPANY OF GUYMON, THE	601 NORTH MAIN STREET 	GUYMON	OK	73942	041	2005-08-08T16:16:33
131351	19355	0	9492	91014898	EXCEL BANK MINNESOTA	5050 FRANCE AVE. 	EDINA	MN	55410	041	2005-08-08T16:16:33
131360	26665	0	13802	321081669	FIRST REPUBLIC BANK	2510 SOUTH MARYLAND PARKWAY 	LAS VEGAS	NV	89109	041	2005-08-08T16:16:33
131418	7459	325	12317	31305745	FNB BANK, NATIONAL ASSOCIATION	354 MILL STREET 	DANVILLE	PA	17821	041	2005-08-08T16:16:33
131436	9620	0	13673	67003778	FIRST BANK OF CLEWISTON	300 EAST SUGARLAND HIGHWAY 	CLEWISTON	FL	33440	041	2005-08-08T16:16:33
131650	15289	0	13343	91408734	F & M BANK	35 1ST AVE. NE. 	WATERTOWN	SD	57201	041	2005-08-08T16:16:33
131717	5838	0	10241	42107738	FARMERS STATE BANK, INC	ROUTE 11 SOUTH 	BOONEVILLE	KY	41314	041	2005-08-08T16:16:33
131753	2372	0	0	84302245	BANK OF DYER	126 SOUTH MAIN STREET 	DYER	TN	38330	041	2005-08-08T16:16:33
131940	8700	0	0	75908027	WALDO STATE BANK	119 DEPOT STREET 	WALDO	WI	53093	041	2005-08-08T16:16:33
132107	17751	0	7669	211272520	ANDROSCOGGIN SAVINGS BANK	30 LISBON STREET PO BOX 1407	LEWISTON	ME	04240	041	2005-08-08T16:16:33
132152	6074	0	0	91406354	FIRST STATE BANK OF WARNER, SOUTH DAKOTA	2 WEST MAIN STREET 	WARNER	SD	57479	041	2005-08-08T16:16:33
132219	264	22928	10654	42107754	FARMERS NATIONAL BANK	13447 DIXIE HIGHWAY 	WALTON	KY	41094	041	2005-08-08T16:16:33
132376	29791	0	4093	71074395	FIRST BANK OF THE AMERICAS, SSB	1715 WEST 47TH STREET 	CHICAGO	IL	60609	041	2005-08-08T16:16:33
132442	14062	14058	17341	75902832	FIRST NATIONAL BANK IN VIROQUA	101 SOUTH MAIN STREET 	VIROQUA	WI	54665	041	2005-08-08T16:16:33
132451	4722	11798	15201	101113812	FIRST NATIONAL BANK OF LOUISBURG, THE	1201 WEST AMITY 	LOUISBURG	KS	66053	041	2005-08-08T16:16:33
132554	14816	0	9117	91102807	NORTH COUNTRY BANK & TRUST	3530 NORTH COUNTRY DRIVE 	TRAVERSE CITY	MI	49684	041	2005-08-08T16:16:33
132778	28667	0	2091	272471072	HOMESTEAD SAVINGS BANK	415 SOUTH SUPERIOR STREET 	ALBION	MI	492240000	041	2005-08-08T16:16:33
132853	24247	17555	15475	102104419	FIRST NATIONAL BANK OF YUMA	615 WEST EIGHTH AVENUE 	YUMA	CO	80759	041	2005-08-08T16:16:33
132938	10072	0	14305	61202957	PLANTERS AND CITIZENS BANK	21 N.HARNEY STREET 	CAMILLA	GA	31730	041	2005-08-08T16:16:33
133243	11331	0	0	81216240	TIMEWELL STATE BANK	101 SOUTH MAIN STREET 	TIMEWELL	IL	62375	041	2005-08-08T16:16:33
133270	28673	0	13207	231374961	PATRIOT BANK	HIGH & HANOVER STREETS 	POTTSTOWN	PA	19464	041	2005-08-08T16:16:33
133850	4972	5263	10429	84301042	FIRST CITIZENS NATIONAL BANK	ONE FIRST CITIZENS PLACE 	DYERSBURG	TN	38024	041	2005-08-08T16:16:33
133971	29800	0	4107	271972404	LISLE SAVINGS BANK	1450 MAPLE AVENUE 	LISLE	IL	605320000	041	2005-08-08T16:16:33
134156	10637	0	16584	104102587	FIRST CENTRAL BANK	623 PATTERSON STREET 	CAMBRIDGE	NE	69022	041	2005-08-08T16:16:33
134400	21492	0	0	21204403	SHREWSBURY STATE BANK	465 BROAD STREET 	SHREWSBURY	NJ	07702	041	2005-08-08T16:16:33
134437	5598	0	9810	62101031	TROY BANK & TRUST COMPANY	1000 HIGHWAY 231 SOUTH 	TROY	AL	36081	041	2005-08-08T16:16:33
134455	8533	0	12224	111103948	TENSAS STATE BANK	307 VERONA 	NEWELLTON	LA	71357	041	2005-08-08T16:16:33
134848	11708	0	0	81216169	TEUTOPOLIS STATE BANK	106 EAST MAIN STREET 	TEUTOPOLIS	IL	62467	041	2005-08-08T16:16:33
135359	2324	0	0	103111362	BARNSDALL STATE BANK	400 WEST MAIN STREET 	BARNSDALL	OK	74002	041	2005-08-08T16:16:33
135751	17966	0	0	104913909	CENTRAL BANK	1634 16TH STREET 	CENTRAL CITY	NE	68826	041	2005-08-08T16:16:33
135836	19755	0	17627	65401673	SOUTH LAFOURCHE BANK & TRUST COMPANY	418 WEST MAIN STREET 	LAROSE	LA	70373	041	2005-08-08T16:16:33
135854	9007	0	0	91406260	HEARTLAND STATE BANK	165 WESSINGTON STREET S. 	WESSINGTON	SD	57381	041	2005-08-08T16:16:33
136048	14868	0	11728	73920531	PEOPLES SAVINGS BANK	514 NORTH ADAMS 	WELLSBURG	IA	50680	041	2005-08-08T16:16:33
136338	9319	0	17608	65204249	MERCHANTS & FARMERS BANK & TRUST COMPANY	501 S FIFTH ST 	LEESVILLE	LA	71446	041	2005-08-08T16:16:33
136459	10306	0	0	84303859	GATES BANKING AND TRUST COMPANY	300 WARDLOW ROAD EAST 	GATES	TN	38037	041	2005-08-08T16:16:33
136655	12135	0	16687	101104407	LYNDON STATE BANK, THE	817 TOPEKA 	LYNDON	KS	66451	041	2005-08-08T16:16:33
137120	16848	0	0	44111191	MIAMI VALLEY BANK	8793 TOWNSHIP ROAD 239 	LAKEVIEW	OH	43331	041	2005-08-08T16:16:33
137205	19531	0	9576	211274531	MACHIAS SAVINGS BANK	4 CENTER STREET 	MACHIAS	ME	04654	041	2005-08-08T16:16:33
137447	3840	4994	0	81205112	FIRST NATIONAL BANK OF VANDALIA, THE	432 WEST GALLATIN STREET 	VANDALIA	IL	62471	041	2005-08-08T16:16:33
137456	11862	0	0	103106775	BANK OF BEAVER CITY, THE	130 SOUTH DOUGLAS 	BEAVER	OK	73932	041	2005-08-08T16:16:33
137559	4611	11933	0	101113867	FARMERS NATIONAL BANK	759 STATE STREET 	PHILLIPSBURG	KS	67661	041	2005-08-08T16:16:33
137643	9105	0	15822	73908155	IOWA STATE BANK	319 SOUTH BROADWAY P O BOX 407	WEST BEND	IA	50597	041	2005-08-08T16:16:33
137652	14587	0	9279	72413722	UNIVERSITY BANK	959 MAIDEN LANE 	ANN ARBOR	MI	48105	041	2005-08-08T16:16:33
137821	11085	0	0	44203863	MILTON BANKING COMPANY, THE	121 SO. OHIO AVENUE 	WELLSTON	OH	45692	041	2005-08-08T16:16:33
137915	12054	0	7209	226070403	EMIGRANT SAVINGS BANK	5 E. 42ND STREET 	NEW YORK	NY	10017	041	2005-08-08T16:16:33
138051	18120	0	0	101107116	FARMERS STATE BANK OF ALICEVILLE, KANSAS, THE	ROUTE 1 	ALICEVILLE	KS	66093	041	2005-08-08T16:16:33
138136	18281	0	0	61111844	FIRST BANK AND TRUST	ONE CENTRAL STREET 	CARNESVILLE	GA	30521	041	2005-08-08T16:16:33
138163	19877	0	10485	123202280	BANK OF ASTORIA	1122 DUANE STREET 	ASTORIA	OR	97103	041	2005-08-08T16:16:33
138211	12984	0	13229	31310413	COMMUNITY BANKS	150 MARKET STREET 	MILLERSBURG	PA	17061	041	2005-08-08T16:16:33
138257	3079	5786	0	111309234	FIRST NATIONAL BANK OF ASPERMONT, THE	WASHINGTON & 7TH STREET 	ASPERMONT	TX	79502	041	2005-08-08T16:16:33
138350	8338	0	17416	104104925	CITIZENS STATE BANK	SECOND AND MAIN 	CLEARWATER	NE	68726	041	2005-08-08T16:16:33
138510	9667	0	11691	42100230	FIFTH THIRD BANK, NORTHERN KENTUCKY, INC.	SIXTH AND MADISON BOX 1032	COVINGTON	KY	41011	041	2005-08-08T16:16:33
138556	9196	0	0	84305844	HOME BANKING COMPANY	795 EAST POPLAR 	SELMER	TN	38375	041	2005-08-08T16:16:33
138725	13567	7759	0	43211160	FIRST NATIONAL BANK OF POWHATAN POINT, THE	345 HIGHWAY 7 N P.O. BOX 147	POWHATAN POINT	OH	43942	041	2005-08-08T16:16:33
138752	15352	0	0	101113427	FARMERS STATE BANK, THE	411 PAGE STREET 	ATWOOD	KS	67730	041	2005-08-08T16:16:33
138930	5663	0	9638	67003671	FIRST COMMUNITY BANK OF PALM BEACH COUNTY	104 SOUTH LAKE AVE 	PAHOKEE	FL	33476	041	2005-08-08T16:16:33
139133	2838	0	13531	62104274	AMERIFIRST BANK	104 EAST HARDAWAY AVENUE 	UNION SPRINGS	AL	36089	041	2005-08-08T16:16:33
139432	26680	0	0	63112469	HERITAGE BANK OF NORTH FLORIDA	794 BLANDING BOULEVARD 	ORANGE PARK	FL	32065	041	2005-08-08T16:16:33
139478	31461	0	7012	231372361	HARLEYSVILLE SAVINGS BANK	271 MAIN STREET 	HARLEYSVILLE	PA	19438	041	2005-08-08T16:16:33
139544	12705	0	0	81904507	FARMERS AND MERCHANTS STATE BANK OF VIRDEN, ILLINOIS, THE	201 EAST JACKSON STREET 	VIRDEN	IL	62690	041	2005-08-08T16:16:33
139553	10667	0	15082	103112112	CITIZENS SECURITY BANK & TRUST COMPANY	14821 SOUTH MEMORIAL 	BIXBY	OK	74008	041	2005-08-08T16:16:33
139656	25858	18478	16706	101105354	NATIONAL BANK OF ANDOVER	225 WEST CENTRAL 	ANDOVER	KS	67002	041	2005-08-08T16:16:33
139740	15614	0	9432	73903354	WEST DES MOINES STATE BANK	1601 22ND STREET 	WEST DES MOINES	IA	50265	041	2005-08-08T16:16:33
139834	22523	0	15102	62202998	CITIZENS STATE BANK	209-211 WEST COLUMBUS AVE. 	VERNON	AL	35592	041	2005-08-08T16:16:33
139843	12839	0	12880	74911578	FIRST FARMERS BANK & TRUST	123 NORTH JEFFERSON STREET P.O. BOX 690	CONVERSE	IN	46919	041	2005-08-08T16:16:33
139852	26822	20880	0	111917215	ARLINGTON NATIONAL BANK	5901 S. COOPER STREET 	ARLINGTON	TX	76017	041	2005-08-08T16:16:33
139955	18528	0	17180	104905250	FARMERS BANK OF COOK	129 WEST MAIN STREET 	COOK	NE	68329	041	2005-08-08T16:16:33
140018	11106	0	12250	31302133	LAFAYETTE AMBASSADOR BANK	360 NORTHAMPTON STREET 	EASTON	PA	18042	041	2005-08-08T16:16:33
140157	11482	0	16688	104902376	COZAD STATE BANK AND TRUST COMPANY	915 MERIDIAN AVENUE 	COZAD	NE	69130	041	2005-08-08T16:16:33
140362	20164	0	0	122228003	SUNWEST BANK	17542 EAST 17TH STREET 	TUSTIN	CA	92780	041	2005-08-08T16:16:33
140513	26787	0	0	26011002	LBS BANK - NEW YORK	12 EAST 52ND STREET 	NEW YORK	NY	10022	031	2005-08-08T16:16:33
140634	2157	0	13867	61204094	FIRST STATE BANK OF RANDOLPH COUNTY	304 COURT STREET 	CUTHBERT	GA	31740	041	2005-08-08T16:16:33
141211	10678	0	9219	31309495	MUNCY BANK AND TRUST COMPANY, THE	2 NORTH MAIN STREET 	MUNCY	PA	17756	041	2005-08-08T16:16:33
141341	10828	0	12523	81216389	BANK OF CARBONDALE, THE	216 EAST MAIN STREET 	CARBONDALE	IL	62901	041	2005-08-08T16:16:33
141350	2301	0	0	103110237	FIRST STATE BANK, THE	20 SOUTHWEST SQUARE 	BOISE CITY	OK	73933	041	2005-08-08T16:16:33
141453	17719	0	0	101107200	FARMERS AND MERCHANTS STATE BANK OF ARGONIA, THE	101 - 103 SOUTH MAIN STREET 	ARGONIA	KS	67004	041	2005-08-08T16:16:33
141556	10988	15576	10016	91910455	STEARNS BANK NATIONAL ASSOCIATION	4191 SECOND STREET SOUTH 	SAINT CLOUD	MN	56301	041	2005-08-08T16:16:33
141734	15640	0	10686	71004226	SHOREBANK	7054 SOUTH JEFFREY AVENUE 	CHICAGO	IL	60649	041	2005-08-08T16:16:33
141958	2379	0	0	84303011	BANK OF GLEASON	203 MAIN STREET 	GLEASON	TN	38229	041	2005-08-08T16:16:33
142049	13816	13978	0	73904560	FIRST NATIONAL BANK OF WEST UNION, THE	115 NORTH VINE 	WEST UNION	IA	52175	041	2005-08-08T16:16:33
142656	15604	0	16863	101114507	LYONS STATE BANK	101 EAST MAIN 	LYONS	KS	67554	041	2005-08-08T16:16:33
142955	4048	0	11433	103110376	SPIRITBANK	4815 S. HARVARD, SUITE 100 	TULSA	OK	74135	041	2005-08-08T16:16:33
143000	6308	0	12424	21201943	UNITEDTRUST BANK	1130 ROUTE 22 EAST 	BRIDGEWATER	NJ	08807	041	2005-08-08T16:16:33
143158	15363	0	0	101105341	BANK OF MCLOUTH, THE	117 SOUTH UNION 	MCLOUTH	KS	66054	041	2005-08-08T16:16:33
143653	8221	0	14687	91206402	STATE BANK OF AURORA	213 N. MAIN STREET 	AURORA	MN	55705	041	2005-08-08T16:16:33
143662	17266	0	0	123205054	UMPQUA BANK	445 SOUTHEAST MAIN STREET 	ROSEBURG	OR	97470	041	2005-08-08T16:16:33
143859	16116	0	17323	104903498	FARMERS STATE BANK	355 SECOND STREET 	DODGE	NE	68633	041	2005-08-08T16:16:33
143952	5336	10106	10712	91804147	FIRST NATIONAL BANK OF BALDWIN, THE	990 MAIN ST. 	BALDWIN	WI	54002	041	2005-08-08T16:16:33
144034	26955	0	14086	64203513	BANK OF CLEVELAND	75 FIRST STREET, NW 	CLEVELAND	TN	37312	041	2005-08-08T16:16:33
144043	12732	0	12681	72408708	INDEPENDENT BANK EAST MICHIGAN	1111 WEST CARO ROAD PO BOX 69	CARO	MI	48723	041	2005-08-08T16:16:33
144052	4619	2758	14175	101100113	EXCHANGE NATIONAL BANK AND TRUST COMPANY OF ATCHISON, THE	600 COMMERCIAL STREET 	ATCHISON	KS	66002	041	2005-08-08T16:16:33
144155	17863	0	13709	91900944	STERLING STATE BANK, AUSTIN, MINNESOTA	1419 FIRST AVENUE SOUTHWEST 	AUSTIN	MN	55912	041	2005-08-08T16:16:33
144436	8800	0	14663	65201255	UNION BANK, THE	305 N. MAIN STREET 	MARKSVILLE	LA	71351	041	2005-08-08T16:16:33
144856	10159	0	13379	91911551	FIRST STATE BANK OF BAYPORT, THE	950 N. HWY 95 	BAYPORT	MN	55003	041	2005-08-08T16:16:33
144913	7646	12471	0	31316608	NEFFS NATIONAL BANK, THE	3257 MAIN STREET 	NEFFS	PA	18065	041	2005-08-08T16:16:33
144968	23342	0	15305	121138233	BAY BANK OF COMMERCE	1495 EAST 14TH STREET 	SAN LEANDRO	CA	94577	041	2005-08-08T16:16:33
145059	10315	0	10625	84302452	BANK OF HALLS	101 WEST MAIN STREET 	HALLS	TN	38040	041	2005-08-08T16:16:33
145255	18051	0	15092	101105053	FARMERS AND MERCHANTS STATE BANK, THE	234 NORTH MAIN 	MACKSVILLE	KS	67557	041	2005-08-08T16:16:33
145545	3842	10180	12492	81017478	FIRST NATIONAL BANK OF WATERLOO	228 SOUTH MAIN STREET 	WATERLOO	IL	62298	041	2005-08-08T16:16:33
145554	4050	7115	9945	103102889	FIRST NATIONAL BANK AND TRUST COMPANY OF BROKEN ARROW, THE	121 SOUTH MAIN STREET 	BROKEN ARROW	OK	74012	041	2005-08-08T16:16:33
145741	15610	0	16363	73903147	FARMERS AND MERCHANTS STATE BANK	101 WEST JEFFERSON P O BOX 29	WINTERSET	IA	50273	041	2005-08-08T16:16:33
145750	1383	0	17049	91903161	STATE BANK OF BELLE PLAINE	201 W. MAIN 	BELLE PLAINE	MN	56011	041	2005-08-08T16:16:33
145844	5768	0	11304	74904860	FOUNTAIN TRUST COMPANY, THE	ONE FOUNTAIN SQUARE PO BOX 8	COVINGTON	IN	47932	041	2005-08-08T16:16:33
145956	18265	0	0	104113945	ERICSON STATE BANK	100 MAIN STREET 	ERICSON	NE	68637	041	2005-08-08T16:16:33
146056	4051	12200	0	103107004	FIRST NATIONAL BANK OF CALUMET, THE	114 EAST MAIN 	CALUMET	OK	73014	041	2005-08-08T16:16:33
146243	9302	0	15854	73905718	WILTON SAVINGS BANK	210 WEST 4TH STREET P O BOX 1120	WILTON	IA	52778	041	2005-08-08T16:16:33
146458	8603	0	13303	104110922	FIRST STATE BANK	348 BROADWAY 	IMPERIAL	NE	69033	041	2005-08-08T16:16:33
146533	13170	0	0	65202089	MERCHANTS AND FARMERS BANK	CHURCH STREET 	MELVILLE	LA	71353	041	2005-08-08T16:16:33
146618	14200	0	0	42107806	BANK OF HARLAN, THE	FIRST & CENTRAL ST 	HARLAN	KY	40831	041	2005-08-08T16:16:33
146654	6104	0	0	84302313	FIRST STATE BANK	101 EAST MAIN STREET 	HENDERSON	TN	38340	041	2005-08-08T16:16:33
146663	8011	0	0	121104063	SAVINGS BANK OF MENDOCINO COUNTY	200 NORTH SCHOOL STREET 	UKIAH	CA	95482	041	2005-08-08T16:16:33
146850	14898	0	17909	101114442	PEOPLES STATE BANK	304 RAWLINS AVENUE 	MCDONALD	KS	67745	041	2005-08-08T16:16:33
147053	5338	10890	12670	91809252	FIRST NATIONAL BANK OF BARRON	436 EAST LASALLE AVENUE 	BARRON	WI	54812	041	2005-08-08T16:16:33
147633	18637	0	11078	62106256	MERCHANTS BANK	1901 NORTH COLLEGE AVE. 	JACKSON	AL	36545	041	2005-08-08T16:16:33
147651	26416	0	0	103104764	COMMUNITY STATE BANK OF CANTON	MAIN AND BROADWAY 	CANTON	OK	73724	041	2005-08-08T16:16:33
147679	28729	0	2246	221271964	GLEN ROCK SAVINGS BANK	183 ROCK ROAD 	GLEN ROCK	NJ	07452	041	2005-08-08T16:16:33
147839	16480	14599	10583	61112458	WEST GEORGIA NATIONAL BANK OF CARROLLTON	201 MAPLE STREET 	CARROLLTON	GA	30117	041	2005-08-08T16:16:33
147857	5097	5393	13046	91201915	FIRST NATIONAL BANK OF BLUE EARTH, THE	306 S. MAIN 	BLUE EARTH	MN	56013	041	2005-08-08T16:16:33
147914	7495	0	12838	31309550	FIRST AMERICAN BANK OF PENNSYLVANIA	140 EAST MAIN STREET 	EVERETT	PA	15537	041	2005-08-08T16:16:33
147923	5867	0	17057	52102312	BANK OF OCEAN CITY	10005 GOLF COURSE ROAD 	OCEAN CITY	MD	21842	041	2005-08-08T16:16:33
148144	12393	0	0	81207097	WEMPLE STATE BANK	197 WEST STATE STREET 	WAVERLY	IL	62692	041	2005-08-08T16:16:33
148238	9489	0	11773	64103464	PEOPLES BANK	129 MAIN STREET 	CLIFTON	TN	38425	041	2005-08-08T16:16:33
148340	14982	0	13345	73903150	UNION STATE BANK	201 WEST COURT P O BOX 110	WINTERSET	IA	50273	041	2005-08-08T16:16:33
148715	9313	0	9854	42103994	PBK BANK, INC	120 FRONTIER BOULEVARD P.O. BOX 366	STANFORD	KY	40484	041	2005-08-08T16:16:33
148809	12017	0	14006	221272439	RAHWAY SAVINGS INSTITUTION, THE	1500 IRVING STREET 	RAHWAY	NJ	07065	041	2005-08-08T16:16:33
148920	9865	0	0	41211243	REPUBLIC BANKING COMPANY, THE	202 WASHINGTON STREET P O BOX 99	REPUBLIC	OH	448670099	041	2005-08-08T16:16:33
149150	2467	0	11635	91803889	CITIZENS STATE BANK	304 NORTH MAIN STREET 	CADOTT	WI	54727	041	2005-08-08T16:16:33
149235	21866	0	0	63109922	TALLAHASSEE STATE BANK, THE	2720 WEST TENNESSEE STREET 	TALLAHASSEE	FL	323042840	041	2005-08-08T16:16:33
149253	9199	0	11133	84304010	REELFOOT BANK	1491 SOUTH FIRST STREET 	UNION CITY	TN	38261	041	2005-08-08T16:16:33
149271	26454	0	14252	211872331	NORTHAMPTON CO-OPERATIVE BANK	67 KING STREET 	NORTHAMPTON	MA	01060	041	2005-08-08T16:16:33
149945	15521	0	11908	73921815	STATE BANK	110 WEST FIRST AVENUE P O BOX 98	WORTHINGTON	IA	52078	041	2005-08-08T16:16:33
150035	1487	14710	11469	64108113	FIRST FARMERS AND MERCHANTS NATIONAL BANK	816 SOUTH GARDEN STREET 	COLUMBIA	TN	38401	041	2005-08-08T16:16:33
150044	11807	0	13019	72408805	UNITED BANK OF MICHIGAN	900 EAST PARIS AVENUE SOUTH EAST 	GRAND RAPIDS	MI	495463676	041	2005-08-08T16:16:33
150071	22710	0	0	125107626	FRONTIER BANK	332 SOUTHWEST EVERETT MALL WAY 	EVERETT	WA	98204	041	2005-08-08T16:16:33
150156	9764	0	0	91203395	UNION STATE BANK OF BROWNS VALLEY	5TH & BROADWAY 	BROWNS VALLEY	MN	56219	041	2005-08-08T16:16:33
150334	3635	5584	0	71106687	FIRST NATIONAL BANK OF CHILLICOTHE	900 NORTH FOURTH STRRET 	CHILLICOTHE	IL	61523	041	2005-08-08T16:16:33
150352	5406	5384	14940	104901720	FULLERTON NATIONAL BANK	406 BROADWAY 	FULLERTON	NE	68638	041	2005-08-08T16:16:33
150576	26486	0	1328	211872027	UNITED CO-OPERATIVE BANK	95 ELM STREET 	WEST SPRINGFIELD	MA	01089	041	2005-08-08T16:16:33
150727	12978	0	0	44106588	RICHWOOD BANKING COMPANY, INC., THE	28 N FRANKLIN ST 	RICHWOOD	OH	43344	041	2005-08-08T16:16:33
150754	15262	0	17446	101101594	HOME STATE BANK & TRUST COMPANY	223 NORTH MAIN 	MCPHERSON	KS	67460	041	2005-08-08T16:16:33
151331	19252	0	13820	61101171	FIRST STATE BANK, THE	4806 N. HENRY BLVD. 	STOCKBRIDGE	GA	30281	041	2005-08-08T16:16:33
151546	3845	13650	0	81916731	SECURITY NATIONAL BANK	ONE WEST BROADWAY 	WITT	IL	62094	041	2005-08-08T16:16:33
151555	4056	0	17160	103102290	FIRST BANK OF CHANDLER	902 MANVEL AVENUE 	CHANDLER	OK	74834	041	2005-08-08T16:16:33
151751	10192	0	11597	91913216	PEOPLES BANK OF COMMERCE	234 E. 1ST. 	CAMBRIDGE	MN	55008	041	2005-08-08T16:16:33
151818	14530	0	10061	31306799	COMMUNITY BANK & TRUST COMPANY	125 NORTH STATE STREET 	CLARKS SUMMIT	PA	18411	041	2005-08-08T16:16:33
151957	13622	0	15476	104901610	FIRST STATE BANK	914 LAKE 	GOTHENBURG	NE	69138	041	2005-08-08T16:16:33
152048	11710	0	0	81206962	FIRST STATE BANK OF WINCHESTER, ILLINOIS, THE	1 NORTH SIDE SQUARE 	WINCHESTER	IL	62694	041	2005-08-08T16:16:33
152057	13274	0	13499	103102481	BANK OF COMMERCE	322 WEST 6TH STREET 	CHELSEA	OK	74016	041	2005-08-08T16:16:33
152235	21495	0	10177	61102439	BARTOW COUNTY BANK	301 E CHURCH ST 	CARTERSVILLE	GA	30120	041	2005-08-08T16:16:33
152253	1913	0	0	91913148	CASTLE ROCK BANK	27925 DANVILLE AVENUE 	CASTLE ROCK	MN	55010	041	2005-08-08T16:16:33
152431	16479	0	17625	71108038	STATE BANK OF CHRISMAN	202 WEST MADISON 	CHRISMAN	IL	61924	041	2005-08-08T16:16:33
152440	8487	0	0	81221235	CENTRAL STATE BANK	101 WEST MAIN STREET 	CLAYTON	IL	62324	041	2005-08-08T16:16:33
152673	27293	0	4452	211371968	ATHOL-CLINTON CO-OPERATIVE BANK	90 EXCHANGE STR 	ATHOL	MA	01331	041	2005-08-08T16:16:33
152712	6514	11734	9877	31205081	WOODSTOWN NATIONAL BANK	1 SOUTH MAIN STREET 	WOODSTOWN	NJ	08098	041	2005-08-08T16:16:33
